1,1,1,father,father,/'f?:ð?/,N,b?,He is my father.,Ông ?y là b? c?a tôi.
1,1,2,mother,mother,/'m?ð?/,N,m?,She is my mother.,Bà ?y là m? c?a tôi.
1,1,3,parent,parent,/'pe?r?nt/,N,b? m?,They are my parents.,H? là b? m? c?a tôi.
1,1,4,sister,sister,/'sist?/,N,ch? gái,She is my sister.,Cô ?y là ch? gái c?a tôi.
1,1,5,brother,brother,/'br?ð?/,N,anh trai,He is my brother.,Anh ?y là anh trai c?a tôi.
1,1,6,son,son,/s?n/,N,con trai,Like father like son,Cha nào con n?y.
1,1,7,daughter,daughter,/'d?:t?/,N,con gái,This is my daughter.,?ây là con gái c?a tôi.
1,1,8,cousin,cousin,/'k?zn/,N,anh/ ch?/ em h?,That is my cousin.,Kia là anh h? c?a tôi.
1,1,9,aunt,aunt,/?:nt/,N,cô/ dì,My aunt is old.,Dì c?a tôi già.
1,1,10,uncle,uncle,/'??kl/,N,bác/ chú,My uncle is young.,Chú c?a tôi tr?.
1,2,1,friend,friend,/frend/,N,b?n bè,She is my friend.,Cô ?y là b?n c?a tôi.
1,2,2,boyfriend,boyfriend,/b?i frend/,N,b?n trai,He is my boyfriend.,Anh ?y là b?n trai c?a tôi.
1,2,3,girlfriend,girlfriend,/g?:l frend/,N,b?n gái,She is his girl friend.,Cô ?y là b?n gái c?a tôi.
1,2,4,boy,boy,/b?i/,N,con trai/ c?u bé,He is a boy.,Anh ?y là m?t c?u bé.
1,2,5,girl,girl,/g?:l/,N,con gái/ cô bé,She is a girl.,Cô ?y là m?t cô bé.
1,2,6,man,man,/mæn/,N,?àn ông,I am a man.,Tôi là m?t ng??i ?àn ông.
1,2,7,woman,woman,/'wum?n/,N,ph? n?,She is a woman.,Cô ?y là m?t ng??i ph? n?.
1,2,8,child,child,/t?aild/,N,??a tr?,He is a child.,Anh ?y là m?t ??a tr?.
1,2,9,wife,wife,/waif/,N,v?,This is my wife.,?ây là v? c?a tôi.
1,2,10,husband,husband,/'h?zb?nd/,N,ch?ng,This is  her husband.,?ây là ch?ng c?a cô ?y.
2,1,1,student,student,/'stju:d?nt/,N,h?c sinh,He is a student.,Anh ?y là m?t h?c sinh.
2,1,2,teacher,teacher,/'ti:t??/,N,giáo viên,She is a teacher.,Cô ?y là m?t giáo viên.
2,1,3,doctor,doctor,/'d?kt?/,N,bác s?,You are a doctor.,B?n là m?t bác s?.
2,1,4,dentist,dentist,/'dentist/,N,nha s?,I am a dentist.,Tôi là m?t nha s?.
2,1,5,nurse,nurse,/n?:s/,N,y tá,She is a nurse.,Cô ?y là m?t y tá.
2,1,6,singer,singer,/'si??/,N,ca s?,He is a singer.,Anh ?y là m?t ca s?.
2,1,7,actor,actor,/'ækt?/,N,di?n viên nam,I am an actor.,Tôi là m?t di?n viên nam.
2,1,8,actress,actress,/'æktris/,N,di?n viên n?,This is an actress.,?ây là m?t di?n viên n?.
2,1,9,farmer,farmer,/'f?:m?/,N,nông dân,He is a farmer.,Anh ?y là m?t ng??i nông dân.
2,1,10,writer,writer,/'rait?/,N,nhà v?n,She is a writer.,Cô ?y là m?t nhà v?n.
2,2,1,artist,artist,/'?:tist/,N,h?a s?,I am an artist.,Tôi là m?t h?a s?.
2,2,2,engineer,engineer,"/,end?i'ni?/",N,k? s?,You are an engineer.,B?n là m?t k? s?.
2,2,3,chef,chef,/?ef/,N,??u b?p,My father is a chef.,B? c?a tôi là m?t ??u b?p.
2,2,4,manager,manager,/'mænid??/,N,nhà qu?n lý,His brother is a manager.,Anh trai c?a anh ?y là m?t nhà qu?n lý.
2,2,5,businessman,businessman,/'biznism?n/,N,doanh nhân,Her husband is a businessman.,Ch?ng c?a cô ?y là m?t doanh nhân.
2,2,6,policeman,policeman,/p?'li:sm?n/,N,c?nh sát,Your son is a policeman.,Con trai c?a b?n là m?t c?nh sát.
2,2,7,president,president,/'prezid?nt/,N,ch? t?ch,He is a president.,Anh ?y là m?t ch? t?ch.
2,2,8,scientist,scientist,/'sai?ntist/,N,nhà khoa h?c,She is a scientist.,Cô ?y là m?t nhà khoa h?c.
2,2,9,dancer,dancer,/'d?:ns?/,N,v? công,I am a dancer.,Tôi là m?t v? công.
2,2,10,musician,musician,/mju:'zi?n/,N,nh?c s?,You are a musician.,B?n là m?t nh?c s?.
3,1,1,fat,fat,/fæt/,Adj,béo,He is fat.,Anh ?y béo.
3,1,2,slim,slim,/slim/,Adj,m?nh kh?nh,She is slim.,Cô ?y m?nh kh?nh.
3,1,3,chubby,chubby,/'t??bi/,Adj,m?m m?m,My sister is chubby.,Ch? gái c?a tôi m?m m?m.
3,1,4,tall,tall,/t?:l/,Adj,cao,His father is tall.,B? c?a anh ?y cao.
3,1,5,thin,thin,/?in/,Adj,g?y,I am thin.,Tôi g?y.
3,1,6,short,short,/??:t/,Adj,th?p/ ng?n,He is short.,Anh ?y th?p.
3,1,7,old,old,/ould/,Adj,già/ c?,She is old.,Cô ?y già.
3,1,8,young,young,/j??/,Adj,tr?,Her brother is young.,Anh trai c?a cô ?y tr?.
3,1,9,beautiful,beautiful,/'bju:t?ful/,Adj,xinh ??p,Our sister is beautiful.,Ch? gái c?a chúng tôi xinh ??p.
3,1,10,handsome,handsome,/'hæns?m/,Adj,??p trai,Their cousin is handsome.,Anh h? c?a h? ??p trai.
3,2,1,careful,careful,/'ke?ful/,Adj,c?n th?n,My manager is careful.,Nhà qu?n lý c?a tôi c?n th?n.
3,2,2,careless,careless,/'ke?lis/,Adj,c?u th?,My nurse is careless.,Y tá c?a tôi c?u th?.
3,2,3,boring,boring,/'b?:ri?/,Adj,bu?n t?,He is boring.,Anh ?y t? nh?t.
3,2,4,friendly,friendly,/'frendli/,Adj,thân thi?n,That singer is friendly.,Ca s? kia thân thi?n.
3,2,5,lovely,lovely,/'l?vli/,Adj,?áng yêu,The artist is lovely.,Ng??i h?a s? ?áng yêu.
3,2,6,shy,shy,/?ai/,Adj,nhút nhát,This is a shy student.,?ây là h?c sinh nhút nhát.
3,2,7,kind,kind,/kaind/,Adj,t?t b?ng,They are kind doctors.,H? là nh?ng bác s? t?t b?ng.
3,2,8,humorous,humorous,/'hju:m?r?s/,Adj,hài h??c,We are humorous.,Chúng tôi hài h??c.
3,2,9,cheerful,cheerful,/'t?j?ful/,Adj,vui v?,My parents are cheerful.,B? m? c?a tôi vui v?.
3,2,10,intelligent,intelligent,/in'telid??nt/,Adj,thông minh,He is intelligent.,Anh ?y thông minh.
4,1,1,read,read,/ri:d/,V,??c,I read.,Tôi ??c.
4,1,2,like,like,/laik/,V,thích,You like him.,B?n thích anh ?y.
4,1,3,hate,hate,/heit/,V,ghét,You hate my manager.,B?n ghét nhà qu?n lý c?a tôi.
4,1,4,love,love,/l?v/,V,yêu,We love a child.,Chúng tôi yêu m?t ??a tr?.
4,1,5,have,have,/hæv/,V,có/ ?n,They have cousins.,H? có nh?ng ng??i anh h?.
4,1,6,watch,watch,/w?t?/,V,xem,I watch TV.,Tôi xem tivi.
4,1,7,buy,buy,/bai/,V,mua,My mother buys a dress.,M? c?a tôi mua m?t chi?c váy.
4,1,8,make,make,/meik/,V,làm,He makes a movie.,Anh ?y làm m?t b? phim.
4,1,9,eat,eat,/i:t/,V,?n,They eat breakfast.,H? ?n b?a sáng.
4,1,10,drink,drink,/dri?k/,V,u?ng,You drink water.,B?n u?ng n??c.
4,2,1,newspaper,newspaper,"/'nju:z,peip?/",N,t? báo,I read a newspaper.,Tôi ??c m?t t? báo.
4,2,2,music,music,/'mju:zik/,N,âm nh?c,My parents love music.,B? m? c?a tôi yêu âm nh?c.
4,2,3,picture,picture,/'pikt??/,N,b?c tranh,They buy a big picture.,H? mua m?t b?c tranh l?n.
4,2,4,book,book,/buk/,N,quy?n sách,My students love books.,Nh?ng h?c sinh c?a tôi yêu nh?ng quy?n sách.
4,2,5,movie,movie,/'mu:vi/,N,b? phim,He loves a movie.,Anh ?y yêu thích m?t b? phim.
4,2,6,hat,hat,/hæt/,N,cái m?,My friend has a hat.,B?n c?a tôi có m?t cái m?.
4,2,7,dress,dress,/dres/,N,váy,Our aunt like a dress.,Dì c?a h? thích m?t chi?c váy.
4,2,8,cake,cake,/keik/,N,bánh,My brother makes a cake.,Anh trai c?a tôi làm m?t chi?c bánh.
4,2,9,rice,rice,/rais/,N,g?o/ c?m,I eat rice.,Tôi ?n c?m.
4,2,10,water,water,/'w?:t?/,N,n??c,We drink water.,Chúng tôi u?ng n??c.
5,1,1,want,want,/w?nt/,V,mu?n,I want.,Tôi mu?n.
5,1,2,go,go,/gou/,V,?i,We go home.,Chúng tôi ?i v? nhà.
5,1,3,speak,speak,/spi:k/,V,nói,We speak.,Chúng tôi nói.
5,1,4,do,do,/du:/,V,làm,They do.,H? làm.
5,1,5,study,study,/'st?di/,V,h?c  ,You study.,B?n h?c.
5,1,6,visit,visit,/'vizit/,V,th?m,We visit hometown.,Chúng tôi th?m quê h??ng.
5,1,7,school,school,/sku:l/,N,tr??ng h?c,I go to school.,Tôi ?i ??n tr??ng.
5,1,8,museum,museum,/mju:'zi?m/,N,b?o tàng,She visits museum.,Cô ?y th?m b?o tàng.
5,1,9,homework,homework,/'houmw?:k/,N,bài t?p v? nhà,They do homework.,H? làm bài t?p v? nhà.
5,1,10,exercise,exercise,/'eks?saiz/,N,bài t?p/ bài th? d?c,My friends do exercise.,Các b?n c?a tôi làm bài t?p.
5,2,1,housework,housework,/'hausw?:k/,N,vi?c nhà,I do housework.,Tôi làm vi?c nhà.
5,2,2,Vietnamese,Vietnamese,"/,vjetn?'mi:z/",N,ng??i Vi?t Nam/ ti?ng Vi?t,We speak Vietnamese.,Chúng tôi nói ti?ng Vi?t.
5,2,3,English,English,/'i?gli?/,N,ng??i Anh/ ti?ng Anh,They speak English.,H? nói ti?ng Anh.
5,2,4,Japanese,Japanese,"/,d?æp?'ni:z/",N,ng??i Nh?t B?n/ ti?ng Nh?t B?n,You speak Japanese.,B?n nói ti?ng Nh?t B?n.
5,2,5,Chinese,Chinese,/'t?ai'ni:z/,N,ng??i Trung Qu?c/ ti?ng Trung Qu?c,I speak Chinese.,Tôi nói ti?ng Trung Qu?c.
5,2,6,badminton,badminton,badminton,N,c?u lông,I play badminton.,Tôi ch?i c?u lông.
5,2,7,thepiano,the piano,/ði: 'pjænou/,N,?àn piano,We play the piano.,Chúng tôi ch?i ?àn piano.
5,2,8,tennis,tennis,/'tenis/,N,qu?n v?t,You play tennis.,B?n ch?i qu?n v?t.
5,2,9,thezoo,the zoo,/ð? zu:/,N,v??n bách thú,We go to the zoo.,Chúng tôi ?i ??n s? thú.
5,2,10,thehospital,the hospital,/ð? 'h?spitl/,N,b?nh vi?n,They go to the hospital.,H? ?i ??n b?nh vi?n.
6,1,1,can,can,/kæn/,Modal V,có th?,I can.,Tôi có th?.
6,1,2,should,should,/?ud/,Modal V,nên,You should.,B?n nên.
6,1,3,swim,swim,/swim/,V,b?i,I can swim.,Tôi có th? b?i.
6,1,4,sing,sing,/si?/,V,hát,You can sing.,B?n có th? hát.
6,1,5,dance,dance,/d?:ns/,V,nh?y/ múa,We can dance.,Chúng tôi có th? nh?y.
6,1,6,sleep,sleep,/sli:p/,V,ng?,You should sleep.,B?n nên ng?.
6,1,7,learn,learn,/l?:n/,V,h?c,My brother should learn.,Anh trai c?a tôi nên h?c.
6,1,8,work,work,/w?:k/,V,làm vi?c,My parents can work.,B? m? c?a tôi có th? làm vi?c.
6,1,9,paint,paint,/peint/,V,v?,We can paint.,Chúng tôi có th? v?.
6,1,10,cook,cook,/kuk/,V,n?u ?n,I can cook.,Tôi có th? n?u ?n.
6,2,1,apple,apple,/'æpl/,N,qu? táo,You can eat an apple.,B?n có th? ?n m?t qu? táo.
6,2,2,orange,orange,/'?rind?/,N,qu? cam,We can make an orange.,Chúng tôi có th? làm m?t qu? cam.
6,2,3,rice,rice,/rais/,N,g?o/ c?m,He can cook rice.,Anh ?y có th? n?u c?m.
6,2,4,vegetable,vegetable,/'ved?it?bl/,N,rau,My mother can cook vegetable.,M? c?a tôi có th? n?u rau.
6,2,5,banana,banana,/b?'n?:n?/,N,qu? chu?i,My father should eat a banana.,B? c?a tôi nên ?n m?t qu? chu?i.
6,2,6,well,well,/wel/,Adv,t?t/ gi?i,My broher can play football well.,Anh trai c?a tôi có th? ch?i bóng ?á t?t.
6,2,7,badly,badly,/'bædli/,Adv,kém/ t?i t?,The singer play tennis badly.,Ng??i ca s? ch?i qu?n v?t kém.
6,2,8,slowly,slowly,/'slouli/,Adv,ch?m,The boy can speak English slowly.,C?u bé có th? nói ti?ng Anh ch?m.
6,2,9,fast,fast,/f?:st/,Adv,nhanh,My parents can learn fast.,B? m? c?a tôi có th? h?c nhanh.
6,2,10,carefully,carefully,/'ke?fulli/,Adv,c?n th?n,A president should speak carefully.,M?t ng??i ch? t?ch nên nói c?n th?n.
7,1,1,pen,pen,/pen/,N,cái bút,We have a pen.,Chúng tôi có m?t cái bút.
7,1,2,pencil,pencil,/'pensl/,N,cái bút chì,They buy a pencil.,H? mua m?t cái bút chì.
7,1,3,table,table,/'teibl/,N,cái bàn,My parents make a table.,B? m? tôi làm m?t cái bàn.
7,1,4,chair,chair,/t?e?/,N,cái gh?,It is a chair.,Nó là m?t cái gh?.
7,1,5,window,window,/'windou/,N,cái c?a s?,The doctor closes the window.,Bác s? ?óng cái c?a s?.
7,1,6,door,door,/d?:/,N,cái c?a chính,The nurse opens the door.,Y tá m? cái c?a chính.
7,1,7,lamp,lamp,/læmp/,N,cái ?èn,The artist buy a lamp.,Ng??i h?a s? mua m?t chi?c ?èn.
7,1,8,fan,fan,/fæn/,N,cái qu?t,This is a fan.,?ây là m?t cái qu?t.
7,1,9,fridge,fridge,/frid?/,N,cái t? l?nh,That is a fridge.,Kia là m?t cái t? l?nh.
7,1,10,shelf,shelf,/?elf/,N,cái giá sách,We want a shelf.,Chúng tôi mu?n m?t cái giá sách.
7,2,1,small,small,/sm?:l/,Adj,nh?,This is a small pen.,?ây là m?t cái bút nh?.
7,2,2,big,big,/big/,Adj,to/ l?n,We want a big chair.,Chúng tôi mu?n m?t cái gh? to.
7,2,3,black,black,/blæk/,Adj,màu ?en,My parents like a black shelf.,B? m? c?a tôi thích m?t cái giá sách màu ?en.
7,2,4,white,white,/wait/,Adj,màu tr?ng,This is a white door.,?ây là m?t cái c?a chính màu tr?ng.
7,2,5,blue,blue,/blu:/,Adj,màu xanh d??ng,My daughter has blue eyes.,Con gái c?a tôi có ?ôi m?t màu xanh lam.
7,2,6,green,green,/gri:n/,Adj,màu xanh lam,The door is blue.,Cái c?a chính màu xanh lam.
7,2,7,red,red,/red/,Adj,màu ??,They are red dresses.,Chúng là nh?ng chi?c váy màu ??.
7,2,8,pink,pink,/pi?k/,Adj,màu h?ng,Our pink fan is here.,Cái qu?t màu h?ng c?a chúng tôi ? ?ây.
7,2,9,brown,brown,/braun/,Adj,màu nâu,My dog has brown eyes.,Con chó c?a tôi có ?ôi m?t màu nâu.
7,2,10,yellow,yellow,/'jelou/,Adj,màu vàng,This is a yellow pencil.,?ây là m?t chi?c bút chì màu vàng.
8,1,1,car,car,/k?:/,N,ô tô,This is a big car.,?ây là m?t chi?c xe ô tô to.
8,1,2,bus,bus,/b?s/,N,xe buýt,This is a city bus.,?ây là m?t chiêc xe buýt thành ph?.
8,1,3,motorbike,motorbike,/'mout?baik/,N,xe máy,I go to school by motorbike.,Tôi ?i ??n tr??ng b?ng xe máy.
8,1,4,train,train,/trein/,N,tàu h?a,We go home by train.,Chúng tôi ?i v? nhà b?ng tàu h?a.
8,1,5,scooter,scooter,/'sku:t?/,N,xe tay ga,That is a scooter.,Kia là m?t chi?c xe tay ga.
8,1,6,boat,boat,/bout/,N,thuy?n,The brown boat is old.,Chi?c thuy?n màu nâu c?.
8,1,7,bicycle,bicycle,/'baisikl/,N,xe ??p,You should buy a bicycle.,B?n nên mua m?t chi?c xe ??p.
8,1,8,plane,plane,/plein/,N,máy bay,I like a plane.,Tôi thích m?t chi?c máy bay.
8,1,9,trafficlight ,traffic light ,/træfik lait/,N,?èn giao thông,This is a traffic light.,?ây là m?t chi?c ?en giao thông.
8,1,10,trafficjam,traffic jam,/træfik d?æm/,N,t?c ???ng,I really hate traffic jam.,Tôi th?c s? ghét t?c ???ng.
8,2,1,dog,dog,/d?g/,N,con chó,We have a big dog.,Chúng tôi có m?t con chó to.
8,2,2,cat,cat,/kæt/,N,con mèo,They should love a cat.,H? nên yêu m?t con mèo.
8,2,3,duck,duck,/d?k/,N,con v?t,I like a yellow duck.,Tôi thích m?t con v?t vàng.
8,2,4,pig,pig,/pig/,N,con l?n,It is a pig.,Nó là m?t con l?n.
8,2,5,monkey,monkey,/'m??ki/,N,con kh?,The monkey is intelligent.,Con kh? thông minh.
8,2,6,tiger,tiger,/'taig?/,N,con h?,Their tiger is very big.,Con h? c?a h? r?t to.
8,2,7,elephant,elephant,/'elif?nt/,N,con voi,This is a big elephant.,?ây là m?t con voi to.
8,2,8,lion,lion,/'lai?n/,N,con s? t?,My mother hates lion.,M? c?a tôi ghét con h?.
8,2,9,chicken,chicken,/'t?ikin/,N,con gà,I always love chicken.,Tôi luôn luôn yêu thích con gà.
8,2,10,bird,bird,/b?:d/,N,con chim,It is a really beautiful bird.,Nó th?c s? là m?t con chim xinh ??p.
